"FID","FID.1","mean","sd","skewness","kurtosis"
"61",61,0.490067145037114,0.134041777606968,-0.0647217031173386,-0.760330060764239
"62",62,0.595590457513042,0.0815956953010652,-0.418487091350625,-0.0501136681142622
"63",63,0.516057195121612,0.0886612715341679,-0.324249169253451,-0.364693715069996
"64",64,0.645276572344657,0.0779488244614201,-0.763267526485044,0.761964533039398
"65",65,0.703386625922602,0.0706482406924668,-0.741176058214934,0.295953647751094
"66",66,0.683319543989966,0.0712009806937847,-0.845611571987223,1.02583001066327
"67",67,0.552482554380525,0.0931559646125508,-0.472715468225019,0.103542524454514
"68",68,0.612347733985916,0.0861929243755375,-0.679008873533347,0.730892028627379
"69",69,0.709298929489682,0.0835781035036566,-0.835688041861969,0.958470355622859
"70",70,0.679975869914712,0.0773454472718413,-0.932238413693351,1.19630303063239
"71",71,0.691496497140037,0.065755914842107,-0.767953576607026,0.990573594998256
"72",72,0.639544455031879,0.0910515699006618,-0.787362814395765,0.78624988829117
"73",73,0.5394013774765,0.145720851988147,-0.591253409472741,-0.642831573794494
"74",74,0.64985557453644,0.0945196228524936,-0.739885968433348,0.167561826453592
"75",75,0.509187519579581,0.0991682134305937,-0.211828256350062,-0.109656969399606
"76",76,0.690248797628706,0.0906843374229634,-1.06801563433753,1.5100569508628
"77",77,0.676257334806379,0.0815666798805573,-1.08337301455309,1.84539710741717
"78",78,0.594496073917705,0.0973646717512314,-0.584468210818814,0.0469414240475245
"79",79,0.611035799485491,0.0815618509068796,-0.568239097136699,0.130086760734885
"80",80,0.633782597328555,0.102731853278608,-0.671071503507604,0.150069635881602
"81",81,0.645959582589647,0.0965620630127157,-0.722818275595277,0.157186078398874
"82",82,0.587461518922521,0.0912660207036349,-0.471628670057389,-0.117800859586382
"83",83,0.590657893830142,0.0782121382774752,-0.515870431228403,0.433721992620428
"84",84,0.537246612410502,0.0990730371722469,-0.335088527398247,-0.160610156662841
"85",85,0.642674451991927,0.0846874473770632,-0.961434183218477,1.51492903804508
"86",86,0.621610039051583,0.0785760640813437,-0.613038099902724,0.0976170355380566
"87",87,0.622064073671667,0.0942892987938032,-0.883059128912738,0.800805802524264
"88",88,0.625801751575869,0.0867036776458754,-0.674417063093778,0.556950741839953
"89",89,0.670204584085648,0.0858817932482259,-0.852119393752318,0.776198718768887
"90",90,0.611251878850725,0.0852709815475704,-0.752856294602133,0.389831606305177
"91",91,0.640934830071352,0.0707643832220515,-0.445095483136108,0.274643685794359
"92",92,0.598966287883933,0.0951465318340809,-0.642306647638196,0.209691740825935
"93",93,0.599415435725358,0.0720805644409441,-0.586539020111925,0.312539517024093
"94",94,0.47664812015596,0.0935342324411241,-0.346732658450764,0.227144037046165
"95",95,0.546790597187586,0.132582777215804,-0.489138113304802,-0.657180395446719
"96",96,0.674478889253517,0.108055905383589,-0.850031435931263,0.555259431861493
"97",97,0.64298487396738,0.102207372069696,-0.584302564598123,-0.00598396219145858
"98",98,0.662188267897531,0.0867611416968218,-0.734190210864148,0.381389206532442
"99",99,0.681392445498271,0.0789690479009221,-0.794712910408761,0.44145962917695
"100",100,0.622430168569005,0.0915264132471369,-0.650764480711198,0.186128960848855
"101",101,0.676574319087211,0.0774366816023904,-0.591137987972017,-0.0210959759846396
"102",102,0.776626858821343,0.049744002986941,-0.989186685201937,1.58412208072401
"103",103,0.797816097956284,0.0571637357487661,-1.1270941922761,1.99808101030317
"104",104,0.541222097101571,0.14360698753455,-0.366944713781612,-0.595028869230589
"105",105,0.609035330535392,0.128196542820593,-0.687084497995964,-0.169004858800825
"106",106,0.672779914101643,0.073076842084188,-1.23939394648817,2.73020336842532
"107",107,0.606184310983074,0.0930425274490119,-0.442161486116886,-0.106378045796155
"108",108,0.562648504802908,0.092250265798625,-0.300566252063634,-0.436573151903628
"109",109,0.58034992601805,0.102846104271545,-0.7784766561313,0.54213766304596
